disaster_number,incident_type,incident_month,incident_begin_year,incident_duration
1303,Hurricane,9,1999,4
1304,Severe Storm(s),9,1999,9
1305,Hurricane,9,1999,2
1306,Hurricane,10,1999,10
1307,Severe Storm(s),9,1999,5
1308,Hurricane,9,1999,3
1310,Tornado,1,2000,1
1311,Severe Storm(s),1,2000,10
1313,Severe Storm(s),1,2000,10
1312,Severe Storm(s),1,2000,8
1315,Severe Storm(s),2,2000,1
1314,Snow,1,2000,3
1316,Severe Storm(s),12,1999,64
1317,Severe Storm(s),1,2000,7
1320,Severe Storm(s),2,2000,13
1319,Flood,2,2000,4
1318,Severe Storm(s),1,2000,5
1321,Severe Storm(s),2,2000,13
1322,Severe Storm(s),3,2000,1
1323,Tornado,3,2000,1
1324,Severe Storm(s),1,2000,5
1326,Severe Storm(s),3,2000,29
1327,Severe Storm(s),4,2000,1
1328,Flood,5,2000,1
1329,Fire,5,2000,35
1330,Severe Storm(s),4,2000,2
1331,Severe Storm(s),5,2000,8
1332,Severe Storm(s),5,2000,54
1334,Severe Storm(s),4,2000,129
1333,Severe Storm(s),5,2000,70
1335,Severe Storm(s),5,2000,101
1336,Severe Storm(s),7,2000,4
1337,Severe Storm(s),8,2000,9
1339,Severe Storm(s),7,2000,4
1340,Fire,7,2000,74
1341,Fire,7,2000,61
1342,Earthquake,9,2000,1
1343,Severe Storm(s),9,2000,1
1344,Severe Storm(s),9,2000,13
1345,Severe Storm(s),10,2000,8
1346,Severe Storm(s),9,2000,1
1347,Severe Storm(s),10,2000,18
1348,Severe Storm(s),10,2000,5
1349,Severe Storm(s),10,2000,8
1350,Severe Storm(s),10,2000,20
1351,Severe Storm(s),10,2000,20
1352,Severe Storm(s),12,2000,6
1354,Severe Ice Storm,12,2000,27
1353,Tornado,11,2000,19
1355,Severe Ice Storm,12,2000,16
1356,Severe Ice Storm,12,2000,34
1357,Severe Ice Storm,12,2000,23
1358,Severe Storm(s),12,2000,2
1359,Freezing,12,2000,55
1360,Severe Storm(s),2,2001,27
1361,Earthquake,2,2001,16
1362,Severe Storm(s),2,2001,1
1363,Severe Storm(s),2,2001,35
1364,Severe Storm(s),3,2001,42
1365,Severe Storm(s),4,2001,2
1366,Severe Storm(s),4,2001,10
1367,Severe Storm(s),4,2001,51
1368,Flood,4,2001,41
1369,Flood,4,2001,87
1373,Severe Storm(s),4,2001,13
1370,Flood,3,2001,102
1371,Severe Storm(s),3,2001,26
