disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
744,MI,Flood,Severe Storms And Flooding,1985-09-05,1985-09-28,Oceana (County),9,23,1985,Midwest,Autumn,3,2,3
745,PA,Hurricane,Hurricane Gloria,1985-09-27,1985-09-27,Lackawanna (County),9,1,1985,Northeast,Autumn,3,2,1
747,CT,Hurricane,Hurricane Gloria,1985-09-27,1985-09-27,"Hartford (County)(in PMSA 1170,3280,5440)",9,1,1985,Northeast,Autumn,3,1,1
748,RI,Hurricane,Hurricane Gloria,1985-09-27,1985-09-27,"Washington (County)(in (P)MSA 5520,6480)",9,1,1985,Northeast,Autumn,3,1,1
749,NJ,Hurricane,Hurricane Gloria,1985-09-27,1985-09-27,Atlantic (County),9,1,1985,Northeast,Autumn,3,1,1
750,NY,Hurricane,Hurricane Gloria,1985-09-27,1985-09-27,Nassau (County),9,1,1985,Northeast,Autumn,3,1,1
751,MA,Hurricane,Hurricane Gloria,1985-09-27,1985-09-27,"Worcester (County) (in (P)MSA 1120,2600,9240)",9,1,1985,Northeast,Autumn,3,1,1
752,LA,Hurricane,Hurricane Juan,1985-10-26,1985-11-08,Jefferson (Parish),10,13,1985,Southeast,Autumn,3,2,2
753,WV,Flood,Severe Storms & Flooding,1985-11-03,1985-11-07,Jefferson (County),11,4,1985,Southeast,Autumn,3,2,2
755,VA,Flood,Severe Storms & Flooding,1985-11-09,1985-11-09,Botetourt (County),11,1,1985,Southeast,Autumn,3,2,2
754,PA,Flood,Severe Storms & Flooding,1985-11-03,1985-11-06,Somerset (County),11,3,1985,Northeast,Autumn,3,1,1
756,FL,Hurricane,Hurricane Kate,1985-11-21,1985-11-22,Jefferson (County),11,1,1985,Southeast,Autumn,3,2,2
757,WA,Flood,Severe Storms & Flooding,1986-01-16,1986-01-19,Jefferson (County),1,3,1986,West,Winter,4,1,4
758,CA,Flood,Severe Storms & Flooding,1986-02-12,1986-03-10,Calaveras (County),2,26,1986,West,Winter,4,2,4
759,NV,Flood,Severe Storms & Flooding,1986-02-15,1986-03-12,Storey (County),2,25,1986,West,Winter,4,1,4
760,UT,Flood,"Heavy Rains, Snowmelt & Flooding",1986-02-12,1986-02-22,Cache (County),2,10,1986,West,Winter,4,1,4
761,MT,Flood,"Heavy Rains, Landslides & Flooding",1986-02-24,1986-03-07,Chouteau (County),2,11,1986,West,Winter,4,1,4
762,WA,Flood,"Heavy Rains, Landslides & Flooding",1986-02-22,1986-02-24,Cowlitz (County),2,2,1986,West,Winter,4,1,4
763,TX,Tornado,"Severe Storms, Rains & Tornadoes",1986-04-19,1986-04-19,Nolan (County),4,1,1986,Southwest,Spring,1,1,5
764,SD,Flood,Severe Storms & Flooding,1986-03-22,1986-05-10,Day (County),3,49,1986,Midwest,Spring,1,1,3
766,PA,Flood,Severe Storms & Flooding,1986-05-30,1986-05-31,Allegheny (County),5,1,1986,Northeast,Spring,1,1,1
767,IN,Tornado,Tornadoes,1986-03-10,1986-03-10,Randolph (County),3,1,1986,Midwest,Spring,1,1,3
